title,date,category,link
Florida Laboratory Owner Pleads Guilty to $52M Medicare Fraud Scheme Involving Genetic Tests,"January 26, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-laboratory-owner-pleads-guilty-to-52m-medicare-fraud-scheme-involving-genetic-tests/
"Brickyard Healthcare - Willow Springs Care Center Agreed to Pay $99,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","January 26, 2026",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/brickyard-healthcare-willow-springs-care-center-agreed-to-pay-99000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
"National Providers in Healthcare and Medstream Anesthesia Hawaii Agreed to Pay $254,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Failed to Meet Coverage Criteria","January 26, 2026",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/national-providers-in-healthcare-and-medstream-anesthesia-hawaii-agreed-to-pay-254000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-failed-to-meet-coverage-criteria/
Two Women Charged with Health Care Fraud for Allegedly Illegally Providing Medical Services,"January 26, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/two-women-charged-with-health-care-fraud-for-allegedly-illegally-providing-medical-services/
TennCare Fraud Investigation Leads to Arrests of Three Former Memphis Caregivers,"January 26, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/tenncare-fraud-investigation-leads-to-arrests-of-three-former-memphis-caregivers/
Georgia Chiropractor Convicted Of Health Care Fraud,"January 23, 2026",COVID-19,https://oig.hhs.gov/fraud/enforcement/georgia-chiropractor-convicted-of-health-care-fraud/
Cheshire Nurse Admits Illegally Distributing Controlled Substances,"January 23, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cheshire-nurse-admits-illegally-distributing-controlled-substances/
Attorney General Hanaway Secures Medicaid Fraud Conviction in St. Louis,"January 23, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-hanaway-secures-medicaid-fraud-conviction-in-st-louis/
"Memphis Woman Sentenced to 41 Months in Federal Prison for Defrauding COVID-19 Relief Programs of Over $560,000","January 22, 2026",COVID-19,https://oig.hhs.gov/fraud/enforcement/memphis-woman-sentenced-to-41-months-in-federal-prison-for-defrauding-covid-19-relief-programs-of-over-560000/
"Chipley-Based Physical Therapy Practice Pays Over $750,000 To Resolve False Claims Act Litigation","January 22, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chipley-based-physical-therapy-practice-pays-over-750000-to-resolve-false-claims-act-litigation/
Florida Nursing Assistant Convicted in $11.4M Health Care Fraud Scheme Targeting Medicare Beneficiaries,"January 22, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-nursing-assistant-convicted-in-114m-health-care-fraud-scheme-targeting-medicare-beneficiaries/
Traditions Health Agrees to Pay $34M to Resolve False Claims Act Liability Relating to Home Health Services Following Self Disclosure,"January 22, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/traditions-health-agrees-to-pay-34m-to-resolve-false-claims-act-liability-relating-to-home-health-services-following-self-disclosure/
Former Saginaw Physician to Stand Trial on 23 Counts of Medicaid Fraud,"January 22, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-saginaw-physician-to-stand-trial-on-23-counts-of-medicaid-fraud/
"Former Zynex, Inc. Executives Charged with Health Care and Securities Fraud and Related Offenses","January 21, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-zynex-inc-executives-charged-with-health-care-and-securities-fraud-and-related-offenses/
Justice Department Files False Claims Act Complaint Against Priority Hospital Group and Three Long Term Care Hospitals,"January 21, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/justice-department-files-false-claims-act-complaint-against-priority-hospital-group-and-three-long-term-care-hospitals/
Four Hudson County Pharmacies Pay $4.3 Million To Resolve False Claims Act Allegations of Billing for Drugs Not Dispensed,"January 20, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/four-hudson-county-pharmacies-pay-43-million-to-resolve-false-claims-act-allegations-of-billing-for-drugs-not-dispensed/
Health Care Executive Pleads Guilty to Kickback Scheme in Vermont,"January 20, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/health-care-executive-pleads-guilty-to-kickback-scheme-in-vermont/
"Lake Minnetonka Shores Agreed to Pay $113,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","January 20, 2026",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/lake-minnetonka-shores-agreed-to-pay-113000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
Attorney General Nessel Charges Former CEO of Oxford Recovery Center with Nine Counts of Health Care Fraud – False Claims,"January 20, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-nessel-charges-former-ceo-of-oxford-recovery-center-with-nine-counts-of-health-care-fraud-false-claims/
Defense Contractor President Sentenced to 48 Months in Bribery Scheme,"January 16, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/defense-contractor-president-sentenced-to-48-months-in-bribery-scheme/
AG Murrill's Medicaid Fraud Control Unit Secures Guilty Plea For Alexandria Man For Dragging A Victim Across A Hallway By His Wrist,"January 16, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-murrills-medicaid-fraud-control-unit-secures-guilty-plea-for-alexandria-man-for-dragging-a-victim-across-a-hallway-by-his-wrist/
Five Ophthalmology Practices Agree to Pay Nearly $6M to Resolve Allegations of Fraudulent Claims to Medicare and Medicaid for Cranial Ultrasounds,"January 15, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/five-ophthalmology-practices-agree-to-pay-nearly-6m-to-resolve-allegations-of-fraudulent-claims-to-medicare-and-medicaid-for-cranial-ultrasounds/
Honduran Man and Kansas Woman Indicted for Fraudulently Obtaining Custody of an Unaccompanied Alien Child,"January 15, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/honduran-man-and-kansas-woman-indicted-for-fraudulently-obtaining-custody-of-an-unaccompanied-alien-child/
Two Individuals Plead Guilty to $68 Million Adult Day Care Fraud Scheme,"January 15, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-individuals-plead-guilty-to-68-million-adult-day-care-fraud-scheme/
Eye Care Clinics Agree To Pay Combined $520K Over Illegal Medicaid Billing,"January 15, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/eye-care-clinics-agree-to-pay-combined-520k-over-illegal-medicaid-billing/
Attorney General Jeff Jackson Announces $15.6 Million Health Care Conviction,"January 15, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jeff-jackson-announces-156-million-health-care-conviction/
"Former Memphis Caregiver Arrested, Charged with Abuse of Vulnerable Adult","January 15, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-memphis-caregiver-arrested-charged-with-abuse-of-vulnerable-adult/
Kinston Woman Sentenced To 6 Years In Federal Prison And Ordered To Repay Over $15 Million In Restitution For Health Care Fraud,"January 14, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kinston-woman-sentenced-to-6-years-in-federal-prison-and-ordered-to-repay-over-15-million-in-restitution-for-health-care-fraud/
Ohio Doctor Sentenced to Prison for $14 Million Health Care Fraud Scheme,"January 14, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ohio-doctor-sentenced-to-prison-for-14-million-health-care-fraud-scheme/
Kaiser Permanente Affiliates Pay $556 Million to Resolve False Claims Act Allegations,"January 14, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kaiser-permanente-affiliates-pay-556-million-to-resolve-false-claims-act-allegations/
Attorney General Ellison Announces Over $3 Million In Fraud Charges Against Medicaid Provider,"January 14, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ellison-announces-over-3-million-in-fraud-charges-against-medicaid-provider/
Attorney General James Announces Conviction and Sentencing of Suffolk County Transportation Company Owner for Stealing Over $1 Million from Medicaid,"January 14, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-conviction-and-sentencing-of-suffolk-county-transportation-company-owner-for-stealing-over-1-million-from-medicaid/
"Attorney General Alan Wilson Announces Chesnee Man Charged With Stealing More Than $17,000 From Assisted Living Resident","January 14, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-chesnee-man-charged-with-stealing-more-than-17000-from-assisted-living-resident/
Attorney General Alan Wilson Announces Former Assisted Living Facility Employee Charged With Stealing From Resident,"January 14, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-former-assisted-living-facility-employee-charged-with-stealing-from-resident/
Attor­ney Gen­er­al Ken Pax­ton Arrests Over 120 Peo­ple and Col­lects Over $125 Mil­lion from Health­care Fraud­sters in 2025 Alone,"January 14, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ken-paxton-arrests-over-120-people-and-collects-over-125-million-from-healthcare-fraudsters-in-2025-alone/
Prison Time For Healthcare Employees In Multimillion Dollar Adult Daycare Fraud Scheme,"January 13, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/prison-time-for-healthcare-employees-in-multimillion-dollar-adult-daycare-fraud-scheme/
Prison Time For Health Care Employees In Multimillion Dollar Adult Daycare Fraud Scheme,"January 13, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/prison-time-for-health-care-employees-in-multimillion-dollar-adult-daycare-fraud-scheme/
Atlantic Biologicals Corporation Enters into Deferred Prosecution Agreement in Opioid Distribution Scheme,"January 13, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/atlantic-biologicals-corporation-enters-into-deferred-prosecution-agreement-in-opioid-distribution-scheme/
Carr: Warner Robins Woman Convicted of Defrauding Georgia Medicaid of $5.4 Million,"January 13, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carr-warner-robins-woman-convicted-of-defrauding-georgia-medicaid-of-54-million/
AG Sunday’s Medicaid Fraud Control Section Secures Prison Sentence for Office Manager in Montgomery County-Based Company’s $1.76 Million Fraud Scheme,"January 13, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-sundays-medicaid-fraud-control-section-secures-prison-sentence-for-office-manager-in-montgomery-county-based-companys-176-million-fraud-scheme/
Non-Profit Executive Convicted of Theft of Federal Funds,"January 12, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/non-profit-executive-convicted-of-theft-of-federal-funds/
"DOJ and Seattle-based FidaLab, LLC settle allegations it inflated bills to government health care programs","January 12, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doj-and-seattle-based-fidalab-llc-settle-allegations-it-inflated-bills-to-government-health-care-programs/
The Health Care Authority for Baptist Health Agreed to Pay $1.4 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Upcoding Inpatient Hospital Services,"January 12, 2026",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/the-health-care-authority-for-baptist-health-agreed-to-pay-14-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-upcoding-inpatient-hospital-services/
Attorney General Announces Home Care Aide Charged With Sexually Assaulting Minor And Vulnerable Adult,"January 12, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-announces-home-care-aide-charged-with-sexually-assaulting-minor-and-vulnerable-adult/
Portland Woman Pleads Guilty to Abusive Sexual Contact,"January 9, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/portland-woman-pleads-guilty-to-abusive-sexual-contact/
"Pain Clinic Owner Sentenced, L5 Medical Holdings to Pay Nearly $5 Million in Restitution","January 9, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pain-clinic-owner-sentenced-l5-medical-holdings-to-pay-nearly-5-million-in-restitution/
"Avantara North Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","January 9, 2026",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/avantara-north-agreed-to-pay-20000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
"Castle Biosciences Agreed to Pay $112,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","January 9, 2026",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/castle-biosciences-agreed-to-pay-112000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Delnor Community Hospital Agreed to Pay $177,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","January 9, 2026",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/delnor-community-hospital-agreed-to-pay-177000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
Oklahoma Medical Supply Company Owner Indicted for $30 Million Health Care Fraud Scheme,"January 8, 2026",COVID-19,https://oig.hhs.gov/fraud/enforcement/oklahoma-medical-supply-company-owner-indicted-for-30-million-health-care-fraud-scheme/
Indiana Woman Sentenced to 84 Months in Prison,"January 8, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/indiana-woman-sentenced-to-84-months-in-prison/
Federal Jury finds Memphis Physician Guilty of Adulterated and Misbranded Medical Devices and Health Care Fraud,"January 8, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/federal-jury-finds-memphis-physician-guilty-of-adulterated-and-misbranded-medical-devices-and-health-care-fraud/
New Jersey Doctor Charged in 58-Count Indictment with Distributing Opioids in Exchange for Sexual Favors and Defrauding New Jersey Medicaid,"January 7, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-jersey-doctor-charged-in-58-count-indictment-with-distributing-opioids-in-exchange-for-sexual-favors-and-defrauding-new-jersey-medicaid/
Two Health Care Executives Convicted for Exploiting Elderly Medicare Advantage Beneficiaries in $34 Million Fraud Scheme,"January 7, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-healthcare-executives-convicted-for-exploiting-elderly-medicare-advantage-beneficiaries-in-34-million-fraud-scheme/
South Carolina Laboratory Pleads Guilty and Agrees to Pay At Least $6.8 Million to Settle Allegations of Kickbacks to Doctors,"January 7, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/south-carolina-laboratory-pleads-guilty-and-agrees-to-pay-at-least-68-million-to-settle-allegations-of-kickbacks-to-doctors/
"Boyer Family Practice and Medical Spa Agreed to Pay $272,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Were Not Performed or Failed to Meet Coverage Criteria","January 6, 2026",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/boyer-family-practice-and-medical-spa-agreed-to-pay-272000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-were-not-performed-or-failed-to-meet-coverage-criteria/
Former Doctor Sentenced for Stealing Identity to Apply for Medical Jobs,"January 5, 2026",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-doctor-sentenced-for-stealing-identity-to-apply-for-medical-jobs/
"Attorney General Alan Wilson Announces Upstate Woman Charged With Stealing Almost $21,000 From Nursing Home Resident","January 2, 2026",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-upstate-woman-charged-with-stealing-almost-21000-from-nursing-home-resident/
"Hospice of San Antonio Agreed to Pay $256,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","December 31, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/hospice-of-san-antonio-agreed-to-pay-256000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
Attorney General Ford Announces Sentencing of Brothers Behavioral Health and Its Owner,"December 29, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ford-announces-sentencing-of-brothers-behavioral-health-and-its-owner/
"Veracyte Agreed to Pay $100,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Improper Remuneration in the Form of Uncompensated Services","December 23, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/veracyte-agreed-to-pay-100000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-improper-remuneration-in-the-form-of-uncompensated-services/
"Attorney General James Secures Over $616,000 from New York-Presbyterian Hudson Valley Hospital for Illegal Kickback Scheme","December 23, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-secures-over-616000-from-new-york-presbyterian-hudson-valley-hospital-for-illegal-kickback-scheme/
Attorney General Alan Wilson Announces Arrest Of Woman Accused Of Stealing From Upstate Nursing Home Resident,"December 23, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-woman-accused-of-stealing-from-upstate-nursing-home-resident/
Attorney General Alan Wilson Announces Upstate Woman Charged With Unlicensed Nursing And Stealing Patient’s Medication,"December 23, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-upstate-woman-charged-with-unlicensed-nursing-and-stealing-patients-medication/
U.S. Attorney Announces $6.8 Million Settlement With New York-Presbyterian Hudson Valley Hospital For Paying Kickbacks To A Westchester Oncology Practice In Order To Obtain Referrals,"December 22, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-68-million-settlement-with-new-york-presbyterian-hudson-valley-hospital-for-paying-kickbacks-to-a-westchester-oncology-practice-in-order-to-obtain-referrals/
CEO of Health Care Software Company Sentenced for $1 Billion Fraud Conspiracy,"December 22, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ceo-of-health-care-software-company-sentenced-for-1-billion-fraud-conspiracy/
"Dr. Sergio Sokol and Affiliated Practices Agreed to Pay $398,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Medically Unnecessary Services","December 19, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/dr-sergio-sokol-and-affiliated-practices-agreed-to-pay-398000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-medically-unnecessary-services/
Labtech Diagnostics and Joseph Labash Agreed to Be Excluded for Allegedly Paying Improper Remuneration,"December 19, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/labtech-diagnostics-and-joseph-labash-agreed-to-be-excluded-for-allegedly-paying-improper-remuneration/
Former New York Doctor Sentenced for Receiving Kickbacks,"December 19, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-new-york-doctor-sentenced-for-receiving-kickbacks-1/
New Jersey Business Owner Sentenced to 87 Months for $172 Million Fraud and Money Laundering Scheme,"December 19, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-jersey-business-owner-sentenced-to-87-months-for-172-million-fraud-and-money-laundering-scheme/
Baltimore County Dentist Sentenced for Illegal Opioid Distribution,"December 19, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/baltimore-county-dentist-sentenced-for-illegal-opioid-distribution/
"Dr. Min Wu and Affiliated Urgent Care Centers Agreed to Pay $883,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Telehealth Services Not Provided as Claimed and Services that Failed to Meet Coverage Criteria","December 18, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/dr-min-wu-and-affiliated-urgent-care-centers-agreed-to-pay-883000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-telehealth-services-not-provided-as-claimed-and-services-that-failed-to-meet-coverage-criteria/
"Six Additional Defendants Charged, One Defendant Pleads Guilty in Ongoing Fraud Schemes","December 18, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/six-additional-defendants-charged-one-defendant-pleads-guilty-in-ongoing-fraud-schemes/
Connecticut Man Sentenced to 30 Months’ Imprisonment for Role in $7.8 Million Health Care Fraud and Kickback Scheme,"December 18, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-man-sentenced-to-30-months-imprisonment-for-role-in-78-million-health-care-fraud-and-kickback-scheme/
Florida Man Pleads Guilty to Health Care Fraud and Kickback Conspiracy,"December 18, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-pleads-guilty-to-health-care-fraud-and-kickback-conspiracy/
Two Pharmacists Sentenced to Years in Prison for Illegal Distribution of Oxycodone,"December 18, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-pharmacists-sentenced-to-years-in-prison-for-illegal-distribution-of-oxycodone/
